Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity
Urban Roads,Dry Road,31,45,Truck,26,45,44,0,1,1,0,0,Medium
Urban Roads,Wet Road,56,43,Bike,37,69,94,0,0,0,0,1,Medium
Rural Roads,Dry Road,53,51,Truck,28,44,71,1,1,0,0,1,Medium
Expressway,Wet Road,83,92,Car,30,71,69,0,0,0,0,0,Low
Service Roads,Wet Road,21,43,Truck,22,66,42,0,1,1,0,0,Low
Urban Roads,Dry Road,36,43,Bike,40,71,90,0,0,0,0,0,Low
Expressway,Dry Road,80,95,Car,22,73,83,1,0,0,0,0,Low
National Highway,Dry Road,81,80,Car,39,64,50,1,0,0,0,0,Medium
Urban Roads,Dry Road,40,34,Bike,28,87,61,0,1,1,1,0,High
Service Roads,Wet Road,57,49,Truck,18,36,94,1,1,1,1,0,High
State Highway,Dry Road,47,66,Bus,27,49,86,0,1,0,0,0,Medium
National Highway,Dry Road,76,90,Car,20,83,84,1,0,0,1,0,Medium
Rural Roads,Dry Road,22,45,Car,34,56,92,1,0,1,0,0,Low
Expressway,Dry Road,106,111,Bike,39,53,100,0,0,0,0,0,Low
State Highway,Wet Road,44,67,Bike,24,98,97,1,1,1,0,0,Medium
Rural Roads,Dry Road,43,48,Bike,39,100,47,1,1,1,1,0,Medium
Service Roads,Dry Road,46,46,Bike,25,43,64,0,0,0,0,0,Low
Service Roads,Damaged Road,46,39,Car,43,58,99,0,0,0,0,0,Medium
Rural Roads,Dry Road,57,70,Car,12,31,61,0,0,1,0,0,Medium
State Highway,Wet Road,100,82,Bike,44,55,82,0,1,1,0,0,Medium
National Highway,Wet Road,84,73,Bus,43,50,81,1,1,0,0,0,High
National Highway,Wet Road,72,71,Car,34,87,90,1,0,0,0,0,Medium
Expressway,Damaged Road,92,98,Car,27,56,66,0,0,1,0,0,Medium
Service Roads,Dry Road,46,48,Bike,34,65,67,1,0,0,0,0,Low
Service Roads,Dry Road,20,26,Truck,22,60,73,0,0,0,0,0,Low
State Highway,Damaged Road,56,80,Bike,45,53,67,0,0,0,1,0,Medium
Expressway,Wet Road,101,120,Car,31,35,81,0,1,0,0,0,Medium
Urban Roads,Wet Road,29,54,Bus,31,69,71,0,1,1,0,1,Medium
Service Roads,Dry Road,41,46,Truck,40,94,92,0,0,1,0,0,Medium
Service Roads,Dry Road,36,44,Car,38,76,100,0,0,0,0,0,Low
Expressway,Damaged Road,116,115,Truck,38,67,75,0,0,0,0,1,High
National Highway,Dry Road,92,95,Bike,15,76,60,0,1,0,0,0,Medium
State Highway,Dry Road,87,88,Truck,32,55,62,0,0,0,0,1,Low
Urban Roads,Dry Road,26,44,Bike,29,56,92,1,0,1,0,0,Medium
State Highway,Dry Road,71,84,Car,37,67,87,0,1,0,0,0,Low
State Highway,Dry Road,88,79,Truck,35,50,88,1,0,0,1,0,Medium
Expressway,Wet Road,113,113,Car,37,43,83,1,0,0,0,1,Low
National Highway,Dry Road,95,99,Bike,18,58,99,1,1,0,0,0,Medium
Expressway,Damaged Road,82,92,Truck,32,92,83,1,0,1,0,0,Medium
Urban Roads,Damaged Road,37,47,Car,35,56,45,1,0,0,1,1,Medium
Urban Roads,Damaged Road,27,31,Bike,21,45,75,0,1,0,0,0,High
Urban Roads,Dry Road,31,56,Car,23,50,56,0,0,0,0,1,Medium
Urban Roads,Wet Road,28,47,Car,41,61,46,0,1,1,0,0,Medium
National Highway,Dry Road,80,99,Bike,34,70,100,0,1,0,0,0,Low
National Highway,Wet Road,73,77,Bike,45,64,64,0,0,0,0,0,Low
Urban Roads,Dry Road,41,51,Truck,25,62,73,1,0,1,1,0,Low
National Highway,Dry Road,57,85,Car,33,100,83,0,0,0,0,0,Medium
National Highway,Damaged Road,79,96,Car,42,74,67,0,0,0,0,0,Low
Expressway,Damaged Road,121,99,Truck,16,93,81,1,1,0,1,0,High
Expressway,Dry Road,78,97,Car,44,39,100,0,1,1,0,1,Low
Rural Roads,Dry Road,57,46,Bus,38,51,83,1,0,0,0,0,Medium
National Highway,Dry Road,69,70,Bike,22,72,99,0,1,0,0,0,Low
Service Roads,Wet Road,62,43,Car,24,84,66,0,0,0,0,0,Medium
National Highway,Wet Road,47,81,Car,33,55,88,0,0,0,0,0,Low
Service Roads,Dry Road,39,27,Car,38,43,81,0,0,0,0,0,Medium
Expressway,Damaged Road,90,90,Car,45,95,100,1,0,1,0,0,Medium
State Highway,Dry Road,69,67,Truck,22,47,74,1,1,0,1,1,Medium
Service Roads,Dry Road,34,20,Car,35,55,74,1,0,0,0,0,Low
Rural Roads,Dry Road,34,46,Bike,18,100,62,0,1,0,0,1,Medium
Expressway,Dry Road,89,90,Car,27,26,59,0,0,0,0,0,Low
State Highway,Dry Road,56,63,Car,23,54,65,1,1,0,0,1,Medium
Rural Roads,Dry Road,49,66,Bus,39,63,58,0,0,0,0,0,Low
State Highway,Dry Road,71,83,Car,29,57,72,1,1,0,0,0,High
Service Roads,Dry Road,20,36,Bike,33,22,79,0,1,0,0,0,Medium
State Highway,Dry Road,41,67,Car,32,75,58,0,0,0,0,0,Low
Expressway,Wet Road,107,109,Bike,33,76,100,1,0,0,0,1,Medium
State Highway,Wet Road,40,62,Car,40,59,64,0,0,0,0,1,High
Urban Roads,Dry Road,64,59,Car,29,57,58,0,1,0,0,1,Medium
Service Roads,Wet Road,53,40,Car,23,44,62,0,0,0,0,1,Medium
Service Roads,Damaged Road,52,46,Car,28,96,38,0,0,0,0,0,Medium
Expressway,Dry Road,88,103,Bike,28,73,70,1,0,0,0,1,Low
Expressway,Dry Road,108,109,Bike,44,53,30,0,0,1,0,0,Medium
Urban Roads,Damaged Road,63,50,Car,30,33,70,0,0,0,0,0,Medium
Urban Roads,Dry Road,54,47,Bike,28,58,78,0,1,0,0,0,High
Urban Roads,Damaged Road,26,54,Bike,32,78,63,0,0,0,0,0,Medium
Rural Roads,Dry Road,53,62,Bike,40,47,77,1,0,1,1,1,High
National Highway,Dry Road,71,93,Car,27,42,70,0,0,0,0,0,Low
Rural Roads,Dry Road,27,42,Car,40,54,86,0,1,0,0,1,Low
State Highway,Damaged Road,39,67,Car,33,67,88,0,0,0,1,0,High
State Highway,Dry Road,61,63,Car,26,52,100,0,0,0,0,0,Low
Urban Roads,Dry Road,66,60,Car,23,58,73,1,1,0,0,1,High
National Highway,Wet Road,51,77,Bike,17,100,68,0,0,0,0,0,Medium
Rural Roads,Dry Road,56,45,Bike,42,95,73,0,1,0,0,1,Medium
National Highway,Dry Road,87,93,Bike,28,71,69,0,0,0,0,0,Low
Rural Roads,Dry Road,61,59,Bike,37,70,89,1,0,0,1,1,Medium
National Highway,Dry Road,86,92,Bike,30,68,100,1,0,0,0,0,Low
National Highway,Dry Road,105,100,Car,31,71,78,1,1,0,0,1,Medium
Rural Roads,Wet Road,57,66,Car,34,50,80,0,0,0,0,0,High
Urban Roads,Dry Road,20,41,Car,35,37,68,0,0,0,0,1,Low
Expressway,Wet Road,90,102,Car,31,68,75,1,0,1,1,0,High
National Highway,Dry Road,93,89,Bike,25,70,36,0,0,0,1,1,Medium
Rural Roads,Wet Road,65,59,Car,18,32,63,0,1,1,0,0,Medium
Service Roads,Dry Road,58,33,Bike,31,66,95,1,1,0,0,0,Medium
Urban Roads,Dry Road,40,57,Bike,17,77,100,1,1,0,0,1,Low
Expressway,Dry Road,122,120,Car,10,99,67,0,1,0,0,0,Medium
National Highway,Wet Road,69,90,Bus,28,46,89,0,1,0,1,1,Medium
Urban Roads,Damaged Road,45,39,Car,37,68,54,0,0,1,0,1,Medium
Urban Roads,Dry Road,43,46,Car,36,26,85,0,1,1,0,1,Medium
State Highway,Dry Road,70,60,Bike,39,44,75,0,0,0,0,1,Low
State Highway,Wet Road,58,84,Car,20,68,85,0,0,0,0,0,Low
Urban Roads,Dry Road,33,31,Car,33,80,100,0,0,0,0,0,Low
Urban Roads,Dry Road,55,51,Bike,32,78,86,0,1,0,0,0,Medium
Rural Roads,Wet Road,54,67,Car,45,59,65,0,0,0,0,0,Low
National Highway,Dry Road,58,78,Truck,18,66,84,1,0,0,0,0,Medium
Service Roads,Dry Road,20,26,Car,31,54,77,0,0,0,0,0,Low
State Highway,Dry Road,53,63,Bike,25,79,20,0,1,1,1,0,High
Rural Roads,Dry Road,24,40,Car,25,57,76,0,0,0,0,1,Medium
Expressway,Dry Road,101,110,Car,40,49,75,0,0,0,0,1,Low
Urban Roads,Dry Road,30,34,Bike,25,83,66,0,0,1,0,1,Low
National Highway,Dry Road,118,99,Bike,31,76,100,0,0,0,0,0,Medium
Service Roads,Wet Road,26,40,Car,38,60,59,0,0,0,0,0,Low
State Highway,Damaged Road,81,64,Truck,22,49,59,1,0,0,0,0,Medium
National Highway,Dry Road,85,94,Bike,10,20,71,0,1,0,0,0,Low
Rural Roads,Dry Road,58,43,Truck,10,55,78,1,0,0,0,1,Medium
Service Roads,Dry Road,76,48,Car,15,73,100,0,0,0,0,0,Medium
Rural Roads,Dry Road,50,59,Car,33,81,100,0,1,1,0,0,Low
National Highway,Dry Road,39,72,Bus,23,81,56,0,0,1,1,0,Medium
State Highway,Dry Road,24,71,Truck,22,68,36,0,0,0,0,0,Medium
Expressway,Dry Road,91,119,Truck,36,29,48,0,0,0,0,1,Low
Service Roads,Dry Road,40,49,Bike,37,56,68,0,1,0,0,1,Low
Urban Roads,Dry Road,20,37,Bike,36,52,76,0,0,0,0,0,Low
National Highway,Dry Road,93,84,Bike,22,67,84,1,1,0,0,0,High
State Highway,Wet Road,82,79,Car,25,21,68,0,0,0,0,1,Medium
State Highway,Dry Road,77,84,Bus,18,72,49,1,0,0,0,1,Medium
Service Roads,Dry Road,20,41,Bike,12,58,72,1,0,0,0,1,Low
Service Roads,Dry Road,63,48,Car,36,45,62,0,1,1,0,0,Medium
Service Roads,Damaged Road,31,29,Bike,30,54,48,0,0,0,0,0,High
Expressway,Wet Road,81,100,Car,23,50,81,1,0,0,0,0,Medium
State Highway,Dry Road,53,69,Bike,45,37,83,0,1,0,1,1,Low
State Highway,Dry Road,47,64,Bike,26,63,78,0,1,0,0,1,Low
Expressway,Dry Road,134,115,Bike,35,60,77,0,0,0,0,0,Low
Urban Roads,Dry Road,27,30,Car,36,59,100,1,1,1,0,0,Low
Service Roads,Damaged Road,20,21,Bike,18,53,92,1,1,0,0,0,Medium
Rural Roads,Dry Road,42,41,Car,30,20,37,1,1,0,0,1,High
State Highway,Dry Road,102,73,Bike,26,51,66,0,0,0,1,0,Medium
Rural Roads,Dry Road,62,60,Bike,28,56,91,0,1,0,0,0,Medium
Urban Roads,Dry Road,46,48,Bike,24,75,84,0,0,0,0,0,Low
National Highway,Wet Road,77,72,Car,31,78,73,1,0,0,0,1,High
State Highway,Dry Road,34,61,Car,16,72,40,1,0,0,0,0,Low
National Highway,Dry Road,102,95,Bike,25,54,52,1,0,0,0,1,Medium
Expressway,Dry Road,71,97,Bus,38,48,65,1,0,0,0,0,Low
Service Roads,Wet Road,24,31,Truck,25,33,36,0,0,0,0,0,Low
Service Roads,Damaged Road,31,25,Car,27,96,77,1,0,0,1,1,High
State Highway,Dry Road,48,88,Bus,25,84,51,1,0,0,0,0,Medium
National Highway,Dry Road,74,98,Bike,25,54,61,1,1,0,0,0,Low
Service Roads,Dry Road,23,27,Car,40,60,68,0,1,1,0,0,Medium
Urban Roads,Wet Road,20,31,Bike,39,63,91,0,0,1,0,1,Low
National Highway,Dry Road,68,81,Car,23,49,97,0,1,0,0,1,Low
Rural Roads,Wet Road,40,40,Bike,36,69,72,0,1,0,0,0,Medium
Expressway,Wet Road,90,95,Car,34,87,60,0,0,0,0,0,Medium
Rural Roads,Dry Road,51,61,Car,17,34,95,1,0,0,0,1,Low
State Highway,Dry Road,74,71,Car,45,48,74,1,1,0,0,0,High
State Highway,Wet Road,43,61,Car,29,54,82,1,0,0,0,0,Low
National Highway,Wet Road,90,99,Bus,45,81,54,0,0,0,1,0,Medium
Service Roads,Dry Road,55,41,Truck,26,74,72,0,0,0,0,1,Medium
State Highway,Dry Road,41,61,Bike,18,57,86,0,1,0,0,0,Low
Urban Roads,Dry Road,40,47,Bus,27,52,97,0,1,0,0,1,Medium
Expressway,Dry Road,102,111,Truck,30,65,72,0,0,1,0,0,High
State Highway,Dry Road,70,66,Bike,32,38,10,0,0,0,0,0,Medium
Service Roads,Dry Road,53,34,Bike,20,63,73,1,0,0,0,1,Medium
Service Roads,Dry Road,20,20,Bike,26,65,96,0,0,0,0,0,Low
Urban Roads,Dry Road,34,35,Truck,13,62,63,1,0,1,0,0,Medium
Urban Roads,Dry Road,43,58,Car,20,77,100,0,1,1,0,1,Low
National Highway,Dry Road,87,98,Bus,17,59,59,0,1,0,0,0,High
National Highway,Dry Road,75,78,Bus,31,54,66,0,0,0,0,0,Medium
Rural Roads,Dry Road,62,45,Car,29,84,94,0,0,0,0,1,Medium
Urban Roads,Dry Road,73,46,Bike,22,62,86,0,0,0,0,0,Medium
National Highway,Damaged Road,76,96,Truck,21,79,67,0,0,0,0,0,Medium
Expressway,Damaged Road,95,112,Bike,29,20,79,0,0,0,0,0,Low
National Highway,Wet Road,81,85,Bike,28,63,55,0,0,0,0,1,Low
State Highway,Dry Road,64,89,Bike,21,100,63,0,0,1,0,1,Low
Service Roads,Dry Road,73,50,Bike,28,76,77,0,0,0,0,0,Low
Expressway,Wet Road,107,101,Car,10,84,79,0,0,0,0,0,Low
Expressway,Dry Road,89,111,Bike,31,64,31,1,0,0,0,0,Medium
Expressway,Dry Road,85,94,Truck,31,69,98,0,1,0,1,1,High
State Highway,Dry Road,66,81,Car,30,53,89,0,0,0,1,1,Low
National Highway,Dry Road,77,92,Bike,38,65,40,0,0,1,0,1,Low
State Highway,Wet Road,65,60,Bike,30,58,63,0,1,0,0,1,Medium
Expressway,Dry Road,99,102,Car,19,46,63,1,0,0,0,0,Medium
Expressway,Dry Road,89,110,Car,37,61,43,0,1,1,0,0,Medium
National Highway,Dry Road,76,82,Bus,27,61,72,0,0,0,0,0,Low
Expressway,Wet Road,82,93,Bus,21,33,63,0,1,0,0,0,Medium
Urban Roads,Wet Road,42,55,Car,41,27,67,0,0,1,1,1,High
National Highway,Dry Road,54,93,Car,19,34,36,0,0,0,1,0,Medium
Urban Roads,Dry Road,40,45,Car,35,35,98,0,0,0,0,0,Low
Service Roads,Wet Road,54,48,Car,15,100,66,0,1,1,0,0,Low
State Highway,Dry Road,48,69,Bike,24,88,56,0,1,0,0,1,Low
State Highway,Dry Road,60,66,Car,32,62,96,1,1,1,0,0,Medium
Urban Roads,Dry Road,69,60,Bike,45,56,69,0,1,1,1,1,Medium
State Highway,Dry Road,53,68,Bike,36,63,86,1,0,0,1,0,Low
Urban Roads,Dry Road,73,58,Bus,41,66,89,0,0,1,0,1,Medium
State Highway,Wet Road,61,70,Bike,34,46,67,0,0,0,0,0,High
Urban Roads,Dry Road,46,46,Truck,25,72,86,1,0,0,0,0,Medium
Expressway,Dry Road,90,97,Bike,24,29,79,1,0,0,0,0,Low
Rural Roads,Wet Road,61,51,Car,45,74,68,1,0,0,0,0,Medium
Service Roads,Dry Road,20,35,Truck,35,81,95,1,0,0,0,0,Low
Urban Roads,Dry Road,59,52,Bike,36,52,65,1,0,1,0,0,Medium
Rural Roads,Damaged Road,25,63,Bus,29,77,51,0,0,0,0,1,Low
State Highway,Dry Road,54,69,Truck,24,65,85,1,1,1,0,0,Low
State Highway,Dry Road,63,75,Car,25,66,91,0,0,0,1,0,Low
Urban Roads,Dry Road,39,46,Bus,30,65,73,1,0,0,0,1,Medium
Rural Roads,Dry Road,63,62,Car,13,67,51,0,0,0,0,0,Medium
National Highway,Dry Road,70,74,Bike,30,100,100,0,0,0,0,0,Medium
Expressway,Damaged Road,76,120,Car,19,74,72,1,1,1,0,0,Medium
Rural Roads,Wet Road,24,42,Bike,28,77,50,1,1,0,0,0,Low
National Highway,Dry Road,65,92,Car,45,58,62,0,0,0,0,1,Low
National Highway,Damaged Road,84,94,Truck,23,59,80,0,0,0,0,1,Medium
Service Roads,Dry Road,25,23,Bike,41,70,38,0,0,0,1,0,Medium
Service Roads,Wet Road,26,41,Bike,32,52,100,1,0,0,0,0,Low
State Highway,Wet Road,68,77,Bike,36,40,89,1,1,0,0,0,High
Urban Roads,Wet Road,54,42,Car,10,52,100,0,0,1,0,0,Medium
National Highway,Wet Road,62,73,Bike,29,55,47,0,0,0,0,0,Medium
Rural Roads,Wet Road,39,53,Car,24,83,59,1,0,1,0,1,Medium
Service Roads,Dry Road,27,32,Bike,37,54,60,0,0,0,0,0,Low
Rural Roads,Damaged Road,42,40,Car,31,71,28,0,0,0,0,0,Medium
Urban Roads,Dry Road,58,38,Car,40,56,82,1,0,1,0,0,High
Service Roads,Damaged Road,54,48,Car,29,100,100,0,1,0,0,0,High
National Highway,Dry Road,75,75,Bus,19,60,82,0,0,0,0,0,Low
Service Roads,Damaged Road,35,26,Car,34,68,31,0,0,1,0,0,High
Service Roads,Damaged Road,20,39,Car,27,35,95,1,1,1,0,0,Medium
Rural Roads,Dry Road,33,42,Car,28,60,88,0,0,0,0,0,Medium
Urban Roads,Dry Road,20,49,Car,32,75,61,0,1,0,0,1,Medium
Urban Roads,Dry Road,20,37,Car,31,88,85,1,0,1,0,1,Low
Service Roads,Dry Road,25,32,Car,32,58,99,0,1,1,0,0,Low
Service Roads,Dry Road,28,49,Car,26,52,100,1,1,1,0,0,Low
State Highway,Damaged Road,95,71,Truck,35,48,100,0,0,0,0,0,High
Expressway,Dry Road,83,115,Car,20,57,83,0,0,0,0,0,Low
Expressway,Dry Road,80,99,Car,38,74,45,0,1,0,0,0,Medium
Rural Roads,Dry Road,54,66,Bike,26,22,71,1,1,0,0,0,Medium
Urban Roads,Dry Road,63,39,Bike,38,59,77,1,0,0,0,1,Low
State Highway,Dry Road,69,71,Car,29,41,68,0,1,0,0,0,Medium
Expressway,Dry Road,99,117,Car,45,52,83,0,0,0,0,0,Low
National Highway,Dry Road,65,87,Bike,29,62,83,1,1,1,0,0,Medium
Service Roads,Dry Road,20,37,Car,30,64,88,0,0,0,0,0,Low
Rural Roads,Dry Road,42,62,Bus,38,73,59,0,1,0,1,1,Medium
Expressway,Wet Road,122,119,Bike,16,43,26,0,0,0,1,0,Medium
Service Roads,Wet Road,43,27,Bike,27,67,34,0,0,0,0,0,Medium
State Highway,Wet Road,66,63,Bike,21,69,40,0,1,0,1,0,Medium
National Highway,Dry Road,78,81,Bike,25,83,67,0,0,0,0,0,Medium
Expressway,Dry Road,49,91,Bike,35,79,56,0,1,0,0,0,Low
Service Roads,Wet Road,21,29,Bus,38,94,42,0,1,0,0,1,Medium
National Highway,Dry Road,38,70,Car,30,54,91,0,1,1,0,0,Low
Rural Roads,Wet Road,29,41,Bike,38,49,100,0,0,0,0,1,Medium
Expressway,Damaged Road,97,97,Car,43,100,97,1,0,0,1,0,High
Expressway,Damaged Road,59,96,Bike,41,70,89,0,0,0,1,0,Low
Urban Roads,Dry Road,20,39,Bike,23,86,66,1,0,0,1,1,Medium
Rural Roads,Dry Road,74,69,Truck,38,66,95,0,0,0,0,0,Medium
Expressway,Dry Road,106,118,Bus,18,58,71,0,0,0,0,0,Low
National Highway,Damaged Road,79,88,Bike,38,57,44,1,1,0,0,0,Medium
Rural Roads,Dry Road,70,59,Bike,33,72,77,0,0,0,0,1,Low
State Highway,Dry Road,89,83,Truck,10,56,72,0,0,0,0,0,Low
State Highway,Dry Road,49,85,Car,16,71,83,0,0,0,0,0,Low
Urban Roads,Wet Road,28,42,Car,28,61,65,0,1,1,0,0,High
Rural Roads,Dry Road,73,65,Car,20,74,72,0,0,0,0,1,Medium
Rural Roads,Wet Road,58,54,Bike,12,58,41,0,1,0,0,0,High
Service Roads,Dry Road,29,20,Bus,38,42,100,0,1,0,0,0,High
Rural Roads,Wet Road,34,43,Car,22,87,76,0,0,0,1,1,Low
Urban Roads,Dry Road,44,35,Bike,40,20,67,1,0,0,0,0,Medium
State Highway,Damaged Road,76,64,Car,26,66,100,0,0,0,0,1,Medium
Expressway,Dry Road,99,107,Car,12,87,62,1,1,0,0,0,Medium
Rural Roads,Dry Road,31,40,Car,32,61,87,0,0,1,0,1,Low
National Highway,Dry Road,67,74,Car,29,42,72,0,0,0,0,0,Low
Expressway,Damaged Road,84,92,Car,43,98,62,0,1,0,0,0,High
Rural Roads,Wet Road,59,69,Bike,33,79,88,0,1,0,0,1,Medium
Expressway,Wet Road,101,108,Car,17,86,51,0,1,0,0,0,Medium
Rural Roads,Damaged Road,39,69,Bus,14,63,63,0,1,0,0,1,Medium
Expressway,Wet Road,102,91,Bus,29,100,86,1,0,1,0,0,High
Urban Roads,Damaged Road,41,45,Car,38,28,48,0,0,1,0,1,Medium
State Highway,Dry Road,83,75,Bike,26,67,69,0,0,0,0,0,High
National Highway,Dry Road,68,74,Bike,30,79,100,1,1,0,0,0,High
Service Roads,Damaged Road,24,35,Bus,27,68,83,0,0,1,0,1,Medium
Urban Roads,Dry Road,59,32,Bike,23,68,30,0,0,1,0,1,Medium
Urban Roads,Dry Road,20,41,Car,34,39,92,0,0,0,0,1,Low
National Highway,Dry Road,90,94,Bus,27,46,67,0,0,0,0,0,Medium
Rural Roads,Wet Road,49,45,Car,29,80,16,0,0,0,0,0,Medium
State Highway,Damaged Road,83,90,Bike,31,91,87,1,0,0,0,1,Medium
National Highway,Dry Road,80,83,Bike,23,58,100,0,1,0,0,0,Low
Expressway,Dry Road,106,111,Car,16,68,82,0,0,0,0,0,Medium
National Highway,Damaged Road,100,99,Bike,39,53,83,0,0,1,0,1,Medium
Expressway,Dry Road,101,98,Truck,39,52,48,0,0,0,1,0,High
National Highway,Dry Road,103,97,Car,27,47,73,0,0,0,1,1,Medium
Expressway,Damaged Road,42,90,Bike,44,89,90,0,1,0,0,1,Medium
State Highway,Dry Road,52,66,Bike,36,71,100,0,0,0,0,1,Low
Urban Roads,Wet Road,22,47,Bike,28,51,79,0,0,1,0,1,Low
Urban Roads,Dry Road,35,37,Bike,41,68,100,0,1,0,0,0,Low
Urban Roads,Dry Road,28,49,Truck,20,71,86,0,0,1,1,1,Low
Rural Roads,Wet Road,42,61,Truck,36,80,77,1,1,0,0,0,Low
State Highway,Dry Road,79,87,Bike,31,70,82,1,0,0,0,0,High
Service Roads,Dry Road,20,25,Car,26,72,58,0,0,1,0,1,Low
Urban Roads,Dry Road,59,59,Car,32,67,90,0,0,0,0,1,Low
State Highway,Dry Road,51,80,Car,32,79,65,0,1,0,0,1,Medium
Expressway,Dry Road,94,107,Bike,33,60,92,0,0,0,0,0,Low
State Highway,Dry Road,62,69,Car,21,65,81,0,0,0,1,0,Low
State Highway,Dry Road,84,89,Bike,33,51,49,0,0,0,0,0,Low
Rural Roads,Wet Road,48,46,Car,35,74,70,0,1,0,0,0,Medium
Rural Roads,Dry Road,33,42,Bus,22,97,80,0,0,0,0,1,Low
National Highway,Dry Road,63,86,Truck,35,65,78,0,0,0,0,1,Low
Service Roads,Dry Road,20,26,Truck,34,77,85,0,1,1,0,0,Medium
State Highway,Wet Road,67,79,Bus,31,57,59,0,0,0,0,0,High
Expressway,Dry Road,76,93,Truck,43,93,95,0,0,1,0,1,Low
Expressway,Damaged Road,92,101,Bike,30,65,100,0,1,0,0,0,High
Expressway,Wet Road,100,115,Car,29,76,91,1,0,0,0,0,Medium
Rural Roads,Wet Road,34,48,Car,35,57,96,0,0,0,0,0,Low
Service Roads,Dry Road,41,29,Car,30,32,100,1,0,1,0,0,Medium
Expressway,Dry Road,114,109,Car,26,66,62,1,0,0,0,0,Low
Rural Roads,Dry Road,65,46,Truck,37,61,33,0,0,0,0,1,Medium
Expressway,Wet Road,89,97,Car,17,70,39,0,1,0,0,0,High
Rural Roads,Damaged Road,49,47,Bus,42,65,98,0,0,0,0,0,Medium
National Highway,Dry Road,48,74,Truck,22,62,47,0,0,0,1,0,Medium
Expressway,Dry Road,112,113,Car,38,74,50,0,0,0,1,0,Medium
State Highway,Wet Road,78,69,Bike,30,72,73,1,1,1,0,1,High
Expressway,Dry Road,71,115,Bike,35,40,77,0,0,1,0,0,Low
State Highway,Dry Road,101,89,Car,28,60,87,0,0,1,0,1,High
Service Roads,Dry Road,24,30,Truck,32,55,51,0,0,1,0,0,Low
Expressway,Dry Road,113,117,Car,35,57,70,1,1,0,0,0,Low
Service Roads,Damaged Road,37,49,Car,36,88,48,0,0,0,0,0,Low
Expressway,Wet Road,111,107,Bike,34,54,63,0,0,0,0,0,Medium
State Highway,Dry Road,52,65,Car,35,90,100,1,1,1,1,0,Low
State Highway,Damaged Road,92,77,Car,34,89,100,1,0,0,0,0,High
Rural Roads,Damaged Road,80,62,Car,16,52,65,0,0,0,0,1,Medium
National Highway,Dry Road,72,88,Bike,24,80,74,1,0,0,0,1,Low
State Highway,Wet Road,69,61,Bus,40,72,50,1,0,0,1,1,High
National Highway,Wet Road,88,87,Car,26,58,68,1,1,0,0,0,Medium
State Highway,Damaged Road,104,83,Car,20,72,96,0,0,0,0,1,Medium
Service Roads,Wet Road,20,29,Bike,35,75,69,0,0,0,0,0,Low
Service Roads,Dry Road,43,35,Car,17,55,49,0,0,0,1,1,Medium
National Highway,Dry Road,66,75,Bike,31,57,62,0,0,0,0,0,Medium
Urban Roads,Dry Road,45,38,Car,15,65,26,0,0,1,0,1,Medium
State Highway,Dry Road,52,71,Car,31,75,62,0,1,1,0,0,Medium
State Highway,Dry Road,72,80,Car,29,68,80,0,0,0,0,0,Low
State Highway,Dry Road,67,68,Bike,26,55,75,0,1,0,0,0,Medium
Expressway,Wet Road,118,114,Bike,32,90,96,0,0,0,0,0,Medium
Urban Roads,Dry Road,43,52,Bike,37,20,58,0,0,0,0,1,Medium
Urban Roads,Damaged Road,51,49,Bike,23,66,69,0,0,0,0,0,Medium
State Highway,Wet Road,81,72,Car,25,73,87,0,0,0,0,0,Low
State Highway,Dry Road,75,65,Bike,39,47,84,1,0,0,1,0,Medium
State Highway,Dry Road,71,79,Truck,24,27,69,0,0,1,0,0,Medium
Expressway,Wet Road,82,119,Bike,33,74,86,0,0,0,0,1,Low
Urban Roads,Dry Road,26,42,Bus,29,80,72,1,0,0,0,1,Medium
State Highway,Dry Road,90,81,Car,35,46,46,1,1,0,0,0,High
Urban Roads,Wet Road,20,30,Car,45,52,61,0,0,1,0,1,Medium
State Highway,Dry Road,60,88,Bike,24,81,67,0,0,0,0,0,Low
State Highway,Dry Road,53,65,Car,38,56,73,0,0,0,0,0,Low
State Highway,Dry Road,51,67,Truck,28,67,65,0,1,0,0,0,High
Service Roads,Wet Road,20,22,Bike,32,20,38,0,0,0,0,0,Medium
Service Roads,Wet Road,30,25,Bike,25,70,78,1,0,1,0,0,Low
State Highway,Dry Road,80,85,Bus,42,100,49,0,0,0,0,1,Low
Service Roads,Dry Road,20,30,Bike,28,55,93,0,0,0,0,0,Low
Service Roads,Damaged Road,47,39,Car,37,32,56,0,1,0,0,0,High
Urban Roads,Dry Road,63,40,Bike,18,65,92,0,1,0,0,1,Medium
Expressway,Wet Road,97,115,Car,36,81,100,0,0,0,0,0,Low
State Highway,Dry Road,59,67,Car,37,86,24,0,1,0,0,0,Medium
State Highway,Damaged Road,94,85,Bike,28,64,87,0,1,0,0,0,Medium
State Highway,Wet Road,100,86,Bike,33,75,83,1,0,0,0,0,Medium
Rural Roads,Wet Road,65,69,Bike,29,78,66,0,1,1,0,0,Medium
National Highway,Dry Road,64,76,Bike,36,55,64,0,0,1,0,0,Low
National Highway,Dry Road,90,99,Car,21,24,75,1,0,0,0,0,Low
State Highway,Dry Road,20,61,Car,30,98,87,0,0,0,0,0,Low
